"AVOID_MAN_CD","BODY_TYPE","COMM_VEH","CRN","DAMAGE_IND","DVR_PRES_IND","EMERG_VEH_USE_CD","GRADE","IMPACT_POINT","INS_IND","MAKE_CD","MODEL_YR","OWNER_DRIVER","PEOPLE_IN_UNIT","PRIN_IMP_PT","RDWY_ALIGNMENT","SPECIAL_USAGE","TRAVEL_DIRECTION","TRAVEL_SPD","TRL_VEH_CNT","UNDER_RIDE_IND","UNIT_NUM","UNIT_TYPE","VEH_COLOR_CD","VEH_MOVEMENT","VEH_POSITION","VEH_REG_STATE","VEH_ROLE","VEH_TYPE","PARTIAL_VIN","VINA_BODY_TYPE_CD"
"","06","N","2021113133","0","1","","1","06","Y","SUBA","2001","02","1","","1","00","W","035","","","2","01","03","01","01","PA","2","01","4S3BH896017","PSW"
"","15","N","2021107468","1","2","","1","06","Y","TOYT","2011","","0","","1","00","","000","","","3","02","12","06","11","PA","2","06","2T3BF4DV3BW","T4W"
"","69","N","2021068775","2","1","","2","06","Y","FORD","2020","01","1","","1","00","S","000","","","2","01","99","03","01","PA","2","06","MAJ6S3FL9LC","T"
"","72","Y","2021065941","1","2","","1","12","Y","SPTN","2012","","0","","","01","","000","","","3","02","02","06","98","PA","2","05","4S7CT2D99CC","TFT"
"","15","N","2021093004","3","1","","2","01","Y","KIA","2013","01","1","","1","00","E","999","","","1","01","03","01","09","PA","1","01","KNDJT2A6XD7","T4W"
"","04","N","2021106748","0","1","","1","12","Y","HYUN","2016","01","1","","1","00","W","999","","","1","01","03","01","01","PA","1","01","5NPDH4AEXGH","P4D"
"","79","Y","2021107057","3","1","","1","00","Y","PTRB","2015","02","1","","4","00","S","039","1","","1","01","09","16","13","PA","2","05","1NPXGGGG50D",""
"","04","N","2021125782","3","1","","1","11","Y","TOYT","1999","01","1","","1","00","N","999","","","1","01","03","12","03","PA","1","01","4T1BG22K6XU","P4D"
"","09","N","2021119637","3","1","","1","02","Y","TOYT","2019","02","1","","1","00","E","065","","","1","01","07","01","03","PA","1","01","4T1BZ1FB0KU","P"
"","","","2021128660","","","","","","","","","","1","","","","","","","","1","31","","","","","2","","",""
"","15","N","2021106441","3","1","","1","00","Y","TOYT","2002","01","1","","4","00","S","065","","","1","01","05","16","03","PA","1","06","JT3HN86RX20","T4W"
"","40","N","2021087601","3","1","","1","06","Y","TOYT","2003","01","3","","1","46","W","005","","","2","01","07","02","01","PA","2","07","4T3ZF19C53U","TSV"
"","41","N","2021108449","3","1","","1","12","N","CHEV","2009","02","1","","1","49","W","055","","","1","01","03","01","01","OH","1","07","1GCGG25K191","TCG"
"","05","N","2021101292","3","1","","4","11","Y","TOYT","2014","02","2","","4","00","S","999","","","1","01","01","10","02","PA","1","01","JTDKN3DU9E1","P4H"
"","02","N","2021118057","3","1","","1","11","Y","TOYT","2014","01","1","","1","00","E","065","","","1","01","02","01","03","PA","1","01","JF1ZNAA19E8","PCP"
"","51","N","2021102167","3","1","","1","09","Y","CHEV","2015","01","1","","1","00","E","005","","","2","01","05","12","01","NJ","1","04","3GCPCSEC0FG","TCW"
"","15","N","2021073617","3","1","","3","01","Y","JEEP","2014","01","1","","4","00","N","999","","","1","01","01","16","01","PA","1","06","1C4NJRFB0ED","T4W"
"","04","N","2021120509","3","1","","1","12","Y","NISS","2016","01","2","","1","00","S","999","","","2","01","05","01","03","PA","2","01","3N1AB7AP0GY","P4D"
"","04","N","2021123630","3","1","","1","03","Y","FORD","2015","01","1","","1","00","N","999","","","2","01","02","01","03","PA","2","01","3FA6P0H75FR","P4D"
"","15","N","2021072690","3","1","","2","11","Y","SUBA","2010","01","1","","1","00","W","030","","","2","01","01","01","01","PA","1","06","JF2SH6CC5AH","T4W"
"","04","N","2021128280","3","1","","3","10","Y","FORD","2013","02","1","","4","00","S","005","","","1","01","01","15","98","PA","1","01","1FADP3F21DL","P4D"
"","04","N","2021123725","3","1","","9","11","Y","FORD","2016","01","1","","1","00","N","065","","","1","01","05","01","01","PA","1","01","3FA6P0K97GR","P4D"
"","69","N","2021121502","2","1","","5","11","Y","CHEV","2021","02","2","","1","00","W","035","","","2","01","03","01","01","MD","1","06","3GNAXHEV3MS","T"
"","09","N","2021094292","1","1","","1","06","Y","MAZD","2018","02","1","","1","00","S","000","","","2","01","03","03","04","PA","2","06","JM1DKFC73J0","P"
"","15","N","2021112845","3","1","","2","12","Y","CHEV","2008","01","1","","4","00","W","999","","","1","01","05","16","06","PA","1","01","1GNDT13S482","T4W"
"","04","N","2021124532","3","1","","1","12","Y","DODG","2012","02","1","","1","00","N","999","","","1","01","05","01","01","PA","1","01","1C3CDZCB9CN","P4D"
"","69","Y","2021127594","1","1","","1","01","Y","FRHT","2019","02","1","","1","00","W","999","","","2","01","03","01","01","PA","1","05","1FVACYFE7KH","T"
"","04","N","2021106866","3","1","","1","12","Y","CHEV","2015","01","1","","1","00","N","045","","","1","01","12","01","01","PA","1","01","1G11B5SL1FF","P4D"
"","15","N","2021100560","3","1","","1","01","Y","JEEP","2016","01","1","","1","00","E","999","","","1","01","12","01","08","PA","0","06","ZACCJBCT8GP","T4W"
"","40","N","2021085298","3","1","","1","02","Y","FORD","2015","02","2","","1","46","N","040","","","1","01","03","01","13","PA","0","07","1FMZK1YM5FK","TSV"
"","51","N","2021103558","1","1","","1","09","Y","DODG","2006","01","1","","1","00","S","025","","","2","01","03","03","01","PA","2","01","1D7HA16K96J","TPK"
"","04","N","2021127735","3","1","","1","06","Y","CADI","1996","01","2","","1","00","E","000","","","2","01","11","03","06","PA","2","01","1G6KD52Y4TU","P4D"
"","09","N","2021088907","3","1","","1","02","Y","FORD","2006","01","1","","1","00","N","060","","","1","01","05","15","03","PA","1","01","99999999999",""
"","15","N","2021118091","3","1","","3","06","Y","KIA","2015","01","1","","1","00","W","055","","","2","01","08","02","03","PA","3","06","5XYKTDA6XFG","T4W"
"","06","N","2021102376","1","1","","3","06","Y","BMW","2013","01","1","","1","00","E","000","","","2","01","05","03","06","PA","2","06","WBAVL1C5XDV","PSW"
"","15","N","2021118105","3","1","","1","12","Y","FORD","2014","01","1","","1","00","N","025","","","1","01","03","01","01","PA","1","06","1FMCU9GX7EU","T4W"
"","69","N","2021112874","3","2","","3","07","Y","CHEV","2020","","1","","4","00","","000","","","2","02","05","06","01","TX","2","06","3GNAXUEV3LS","T"
"","15","N","2021117136","2","2","","3","06","Y","KIA","2012","","0","","1","00","E","000","","","2","02","05","03","01","PA","2","06","KNDPBCA28C7","T4W"
"","04","N","2021085955","3","1","","1","01","Y","HOND","2017","01","1","","4","00","S","999","","","1","01","07","01","01","PA","1","01","JHMCR6F56HC","P4D"
"","04","N","2021107020","3","1","","3","12","Y","CHEV","2014","01","1","","1","00","N","045","","","1","01","07","01","03","OH","1","01","2G1125S3XE9","P4D"
"","69","N","2021113798","2","1","","1","12","Y","RAM","2018","01","1","","1","00","N","999","","","2","01","03","01","99","PA","2","04","1C6RR7LG5JS","T"
"","69","N","2021085159","3","2","","1","01","Y","FORD","2021","","0","","1","00","","000","","","2","02","07","06","98","PA","2","06","1FMSK8DH6MG","T"
"","01","N","2021127802","3","1","","1","01","Y","CHRY","2004","01","1","","1","00","N","015","","","1","01","07","11","04","PA","2","01","1C3EL55R74N","PCV"
"","05","N","2021083830","3","1","","1","12","Y","PONT","2007","02","1","","1","00","N","040","","","1","01","05","01","01","PA","1","01","5Y2SL65867Z","P4H"
"","69","N","2021126195","2","1","","2","06","Y","NISS","2018","01","1","","1","00","E","000","","","3","01","01","03","03","PA","2","06","5N1AT2MV3JC","T"
"","69","N","2021109059","3","1","","2","12","Y","TOYT","2019","01","1","","1","00","S","030","","","2","01","05","01","01","PA","1","06","5TDBZRFH4KS","T"
"","04","N","2021085434","3","1","","1","01","Y","NISS","2007","02","1","","1","00","S","999","","","1","01","12","01","01","PA","1","01","1N4AL21E57N","P4D"
"","04","N","2022003798","3","1","","3","02","Y","MERC","2007","02","1","","3","00","W","070","","","1","01","07","17","03","PA","1","01","3MEHM01167R","P4D"
"","15","N","2021105527","1","2","","2","06","U","HOND","2011","","0","","1","00","","000","","","4","02","01","06","01","PA","2","01","5FNYF4H29BB","T4W"
"","15","N","2021098656","3","1","","3","11","Y","SUBA","2016","01","2","","1","00","E","000","","","3","01","04","03","04","PA","2","06","JF2SJADC3GH","T4W"
"","04","N","2021090039","3","1","","1","11","Y","SUBA","2011","02","1","","1","00","E","999","","","1","01","01","01","01","PA","1","01","4S3BMBK63B3","P4D"
"","19","N","2021114965","9","4","","1","06","U","UNKN","","99","1","","1","99","N","999","","","2","05","99","99","01","","2","06","",""
"","04","N","2021090583","3","1","","1","11","Y","TOYT","2012","01","1","","1","00","W","999","","","2","01","02","01","03","PA","2","01","4T1BK3DB5CU","P4D"
"","69","N","2021117299","3","1","","1","01","Y","CHEV","2019","01","1","","1","00","S","999","","","1","01","03","01","01","PA","0","06","3GNCJPSB1KL","T"
"","69","N","2021109630","3","1","","1","07","Y","TOYT","2021","02","1","","1","00","E","030","","","2","01","03","01","01","PA","2","06","2T3F1RFV2MC","T"
"","09","N","2021125670","3","3","","1","02","U","KIA","2018","01","1","","1","00","W","999","","","1","01","01","01","01","PA","1","01","3KPFL4A77JE","P"
"","04","N","2022026971","1","1","","1","03","Y","SUBA","2015","01","1","","1","00","E","025","","","2","01","09","01","02","PA","2","01","4S3BNAD63F3","P4D"
"","01","N","2021088267","1","1","","1","07","Y","CHRY","2008","02","2","","1","00","N","999","","","1","01","07","18","01","PA","2","01","1C3LC55R48N","PCV"
